sequence,label
back two thousand twenty-three two thousand ten best vibes,1
thumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupthumbsupwavinghandwavinghand,1
many likes comment get,1
time superstar flexedbicepsflexedbicepsflexedbicepsflexedbicepsflexedbiceps,1
love itredheartredheartredheart,1
reminds roderick hefffly singing,1
bitterly still listening 2023facewithtearsofjoyredheart,1
lol,1
someone august two thousand twenty-three,0
someone august two thousand twenty-three,1
cryingface2023 come guyspartypoppercryingface,0
two,1
nice bro bangladesh redheartredheart coming visit canada brother redheartredheartredheartredheartredheart,1
wowgrinningsquintingfacegrinningsquintingfacegrinningsquintingface,1
today facewithtearsofjoy,1
voderbalo,1
today,1
meet self comments two thousand twenty-four,1
best song ever redheartredheartredheartredheartredheart,1
thinking song singed girl,0
justin old is two thousand twenty-three,0
fava eraaakissingfacewithclosedeyes,1
good song redheartredheartredheartredheart,1
love song redhead,1
younger son favourite,1
goofy ah song ever made child,0
kiss favorite song smilingfacewithsmilingeyes,1
time pass get older song remain heart forever redhead,1
really moving hear voice justin bieber still childredheart,1
good partypopper,1
need loft version song smilingfacewithsmilingeyes,1
boys grown upcryingfacecryingfacecryingface,0
anyone noticed drake thinkingface ummm,0
hate growing still listening two thousand twenty-three redhead,0
love,1
baby sparklingheartbabybottle baby babybottlesparklingheart baby babybottlesparklingheart baby sparklingheartbabybottle baby sparklingheartbabybottle,1
nineteen,1
think quitting music meantime get well soon justin,0
hearthandshearthandshearthandshearthandshearthands,1
two thousand twenty-three dog,0
still hate song honest,0
justin bieber song fallen love always,1
cringe button backhandindexpointingdown,0
good,1
faceholdingbacktearssparklespeoplehugging,1
dumb,0
yeah,1
sorry hating much bieber baby isfirefirefire,0
justin bieber terence name,1
watch two thousand twenty-three,1
thought girl game shakers,1
woowamzing music two thousand twenty-three,1
zesty festival first signed sigma,0
pakistan song famous partypopper song wow osampartypopperredheart,1
two thousand twenty-three let gather,1
still masterpiece two thousand twenty-three,1
humming firsthand hear,1
song disliked song hideout song hated reason,0
people hate time,0
hellooooo,1
girl selena gomez,1
accept fact song going thirteen years ago,1
one thousand ten,1
childhood song still listeningredheart,1
2023musicalnotes,1
remember yrs old age used sing song school redheartredheart remembering days loudlycryingfaceloudlycryingfaceloudlycryingface,1
man used wear sutra back rollingonthefloorlaughing,1
man full emotions,1
drake one hundred fifteen,0
nice,1
guilty pleasures really supposed guiltyfeeling care song fucking bangs,0
remember song played prom girl came stage rapped whole verse,1
two thousand ten people come song two thousand twenty-three people come views likes,1
favorite song timeless never get old redhead,1
three billion coming smilingfacewithhearts,0
baby baby oh like baby like baby baby oh,1
nah know recommendation never like anyone spits fans puppies,0
listening song two thousand twenty-three august indexpointingattheviewerfire,0
since ten twenty-three justin still man,1
am ab views,1
justin bieber made life better,1
billion views redheartredheart,1
yea checking still nice shit,0
although young sings well deserves ten song points,1
august two thousand twenty-three song never get old,1
was,0
august two thousand twenty-three,1
song straight like,1
never ever ever apart,1
ever timeredheart,1
coming back,0
three billion mark,1
hit ab,1
nostalgia right,1
live songredheartsmilingfacewithsmilingeyes,1
lisa blacking audition song,1
great song redhead,1
nil thought girl singing first time listened without video,1
hi,1
two thousand twenty-three anybody,0
would expect ith disliked video,0
small reindeer red cowards exist swear bad luck,0
ten years ago justin bieber watches five times know lyrics,1
believe drake never noticed,0
much innocencettt lovechahiye,1
map ahi se border cross or gave old age think napkin,0
still listening 2023smilingfacewithsmilingeyes,1
honest kind mid bad ig know,1
worst song ever,0
fav human ever,1
2010baby baby baby 2015sorry sorry sorry 2020yummy yummy yummy 2021stay stay stay,1
cute redheartfacewithopenmouth,1
still two thousand twenty-three,1
buy anything anyting like tell mefacewithoutmouth,1
love,1
god,1
2023redheart,1
knows justin bieber tik tok profile,1
wow,1
wow,1
really good person justin bieber redheartredheartredheartredheart,1
30000com098,1
smilingfacewithsmilingeyesbeatingheartbeatingheartbeatingheart,1
legendary people two thousand twenty-three,1
sun justin bieber,1
2023redheart,1
lame song,0
seventeen still listening masterpiece first listen fifteen redhead,1
bit way feel happy live era cry job faker greenheartgreenheartgreenheartfourleafclover,1
master piece two thousand twenty-three,1
time favorite song love justin greetings india redheartindiafaceblowingakiss,1
one hundred fourteen changed title justin bieber baby it ludacris drakerollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
old good days,1
one best song time one greatest singer,1
matter many years pass song always stay heart foreverredheartsparkles,1
2023facewithtearsofjoy,0
really really miss smcryingface,0
song nice song stay hearts forever love job twoyears,1
300crfacewithopenmouthheartonfirestarstruck,0
love jbpurpleheartpurpleheart,1
listening song two thousand twenty-three,1
lil of everyone chokehold back,1
realize drake music vid,1
poor justin hitting girls years older,0
chat,1
good morning nice day,1
old memories nice songredheart,1
india song always heart redhead,1
damn years later realise drake vid well,0
thank god see dislikes anymore,1
cool guess watching thispartypopperpartypopperredheartredheartredheartredheartpartypopperpartypopperpartypoppercryingfacepartypopperpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheartredheartredheartsmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
still listingsmilingfacewithhearteyes,1
song came best moments lives happy know,1
sis likes wants marry,1
boss dancer,1
everyone hanging teenager,1
best babypartypopper,1
goddamn hate come back skullskull,0
drake,0
anyone two thousand twenty-three facewithtearsofjoy,1
ah yes good old days,1
love sir justin music music reason love got addicted music thank,1
rather listen baby shark repeat ten hours rather hearing shit skull,0
bring many memories cryingface,0
many international fans hereraisedbackofhand,1
never knew justin bieber song thought chick singing,0
song never get oldthumbsupheartsuit,1
afraid listen song public thinking people make fun older understand wrong people jealous,0
smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
job true star,1
god good in,1
yeh,1
two thousand twenty-three still enjoying redheartredheartpartypopper,1
legend listening song long time best song justin bieber ever oldisgold old vibes,1
justin bieber transcended almost twenty-three generations people,1
made fall love juno matter old between listen always feel like thirteen,1
2023algeriagreenheartgreenheartalgeriagreenheartgreenheartalgeriaalgeriablackheart,1
let agree job owned whole world time song,1
one best justin broken lost come video song redheartredheartpartypopperpartypoppersmilingfacewithsmilingeyesthank inspiring world amen redhead,1
love foreverredheartredheartredheart,1
song world redhead,1
love,1
eieiwijajbackhandindexpointingdownsmilingfacewithhearteyesbackhandindexpointingdownsmilingfacewithhearteyesbackhandindexpointingdownfhdhredheartsmilingfacewithhearteyesredheartsmilingfacewithhearteyesrollingonthefloorlaughingsmilingfacewithhearteyesrollingonthefloorlaughingredheartbrokenheartredheartsmilingfacewithsmilingeyespurpleheartbrokenheartredheartbrokenheartredheartbrokenheartredheartrollingonthefloorlaughingbackhandindexpointingdownrollingonthefloorlaughingsmilingfacewithhearteyesrollingonthefloorlaughingbackhandindexpointingdownredheartbackhandindexpointingdownredheartsmilingfacewithhearteyesredheartsmilingfacewithhearteyesredheartsmilingfacewithhearteyesredheartbackhandindexpointingdownredheartbrokenheartredheartbrokenheart,1
june thirty-one india,1
favorite song bangladesh,1
postpone concert,0
coolsmilingfacewithsmilingeyesredheart,1
still listening two thousand twenty-three,1
good song ever redhead,1
thirteen years still dislike,0
like two thousand twenty-three,1
great vocalsstarstruck dancingfacewithoutmouth,0
thirteen years later song still sucks lololololololol,0
headscarf look like fire,0
makes remember everyone death wish justin bieber back,0
priyanka kan redheartredheartredheartredheartredheartredheartredheartredheartredheartredheartpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheart,1
ludacris verse fire,1
love justin bieber,1
haley,1
going ignore drake video,0
today years old found drake video,0
old gold cowboyhatfacecoin,1
sometimes think crazy impact like quite literally legend,1
2010baby baby baby 2015sorry sorry sorry 2020yummy yummy yummy,1
love india india heartsuit,1
hey guys checkout lisa blacking song money,1
two thousand twenty-three still loudlycryingfaceloudlycryingfaceloudlycryingface,0
tradition dislike video,0
camera man needs oscarfacewithopenmouth,0
song older,1
one would expect ith disliked video,0
baby baby oh like baby baby baby,1
best romantic lyricsmilingfacewithhearts heart beating million second listen musicokhandmicrophonemusicalnotesheartsuitredheart,1
young cryingfacefacewithopenmouthsmilingfacewithsmilingeyes,1
culinary,1
younger everybody hating song annoying always found enjoyable think lucas part fire day,0
2009infinity love always justin redhead,1
two thousand twenty-three beamingfacewithsmilingeyes,1
redheartredheartredheartredheart stuck head,1
many indian public redhead song,1
partypopperare able doit slow also want love,1
two thousand thirty-three,1
thirteen 26faceholdingbacktearsdisappointedface,0
getting older hate disappointedface,0
three hundred thirty-nine favourite part,1
two thousand twenty-three always coolredheart,1
love youredheartredheartredheartredheartredheartredheartredheart,1
even born song came,1
video fifteen million dislikes,0
justin see dose like bro let alone,0
know listening song fire,0
siredheartredheartredheartredheartredheartredheartredheartredheartredheart,1
many people group songredheartredheart,1
redhead love song redhead justin bieber,1
one hundred fourteen drake,1
2025happy happy,1
favorite song love song,1
dear justin sorry hating reason cryingface sorry love redhead,1
sing song year hit likeredheart,1
love song,1
oh sad,0
back two thousand twenty-three,1
still loves justin two thousand twenty-three meeeeee,1
childhood loveredheartredheartredheart,1
loveyoumecryingcatkissingcatmeshowboyfaceblowingakisskissingfacewithsmilingeyeskissingfacewithclosedeyeskissmarkkissmarkkissmarkkissmarkkissmarkkissmark,1
old gold song redheartredheartredheartredheartredheart,1
still favourite song,1
song never get old redheartredheartsparkles agree,1
still get reason ten million dislikes,0
beautiful,1
anyone two thousand twenty-three,1
song remain one gen iconic song ever,1
baby justin everything revolvinghearts,1
listen two thousand twenty-three,1
road three billion views signofthehornssignofthehornssignofthehorns,1
fifteen dec two thousand twenty-three,1
masterpiece for,1
many couple listen song 2023partypopperpartypopper,1
two thousand twenty-three still listen song redhead,1
luna chris fast five,1
love india triangularflagomredheartredheart,1
beaver,1
came see really drake,1
girls ass kind small,0
song defines era love hate never teenage girls going crazy kid,0
fav part twenty-eight thirty-five thirty-six,1
ten year ago cryingface,0
came dislike,0
justin bieber best singer whole worldredheartredheart,1
cousin crush,1
keep listening song two thousand ninety-nine hand facewithtearsofjoy,1
justin bieber want kids,1
stroking shit jacking shit,0
sister listened brazilian song top,1
baby oh baby baby oh,1
chat real,1
thirty july two thousand twenty-three,1
know vid eighteen million dislikes,0
looks young thirteen years ago redhead,1
ohhhh,1
justin bieber favorite songs fans songs fans songs,1
nostalgia hit harder reminds good old school days,1
song assfacewithtearsofjoy,0
favorite song bye justin,1
two thousand ten thirteen yrs ago,0
redhead keep awesome music way,1
realised today drake video,1
two thousand twenty-three listeners,0
three hundred eight,1
anyone roderick cover song facewithtearsofjoy,0
kid future know happen,0
old days early two thousand early 2000s gang loudlycryingface downarrow,0
song change mood smilingfacewithsmilingeyesredheart,1
forever revolvinghearts,1
twenty-eight song almost older megrinningfacewithsweat,1
three billion,0
justin bieber best video,1
manliest pop listener nonmichael jackson,1
video degenerocity really got listening back like damn pretty fire,1
randomly remember song came back facewithtearsofjoyfacewithtearsofjoy,0
ab views soon,1
know people hate song good,1
already thirteen years ago,0
justin bieber left singing,1
july two thousand twenty-three let us see many still watching blueheart,1
same,1
realize song bigger,1
one 2023redheart,1
nice bro super thanks hand,1
malayalli undosmilingfacewithsmilingeyes,1
good old days,1
tjienodfjod,1
bro paper lend,1
facewithtearsofjoyfacewithtearsofjoy,1
forty-five,1
wake every day turn song,1
forte baby baby,1
justin fact speakingheaddoubleexclamationmark,1
song still ass skull,0
partypopperpartypopperpartypopper,1
legendary sang love india india,1
two thousand twenty-three anyone,1
ear rape taken put,0
asking him dislikes,0
white boy dancefacewithtearsofjoyfacewithtearsofjoyfire like agree edit thanks likes guys,1
hi wavinghand two thousand twenty-three back heresmilingfacewithsmilingeyes,1
video feel old dance showdown the club lao rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
disliked song,0
love justin smilingfacewithsmilingeyesredheartredheartredheart,1
still listening two thousand twenty-three bangladesh bangladesh,1
friends saying,1
old flame first love unforgettable redhead,1
really sorry,0
shit used disliked vid youtube see count facewithmonocle,0
understand hates justin slightlysmilingface best singer world globeshowingamericasglobeshowingeuropeafrica,1
july two thousand twenty-three thought would one still skull,1
july two thousand twenty-three redhead,1
got work luna age would starstruck,1
know love,1
two thousand twenty-three anyoneredheartsmilingfacewithhearts,1
dawg drake two hundred two,0
te amo justin,1
bieber era never gets old,1
going back hit,1
lovedhated inmost loved nowwe really make minds,1
anyone know video him him dislikes trying rude one likes comment delete,0
goodpartypopperpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartpartypopperpartypopperpartypopperpartypopperpartypopperpartypopper,1
see,1
smilingfacewithsmilingeyes,1
song awesome,1
hello indonesia,1
quality video thirteen years passed still,0
nice song,1
love song favorite orangeheartredheartredheartredheartredheartredheart,1
drake video pus pus,0
two thousand twenty-three six 29smilingfacewithsmilingeyes,1
strong iu,1
one time come malaysia,1
nice song,1
song never old redhead,1
two thousand twenty-three,0
smilingfacewithsmilingeyesjustin inspired go music like artist trying get heard top happening stopping redhead,1
nostalgia,1
wow three billion fire,1
heartwitharrowblackheart,1
two thousand twenty-four smilingfacewithsmilingeyes,1
name alma love song ooooooooooooooooooooooooooohhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
justin bieber awesome,1
wait people actually like song,1
just year getting chill feeling bachelor,1
like beats record,1
white baby oh white baby bay bee kissmark,1
male adulthood realize actually goes hard,0
good morning tennessee,1
best part three hundred thirty-eight,1
justinnnnn redhead,1
childhood memories unlocked redhead,1
better rap shit,1
sorry hating songs fire,0
song amazing redhead love youredheart,1
sounds lika ten year old girl,1
rude sounds like woman,1
many years still jamming songs beers,1
song older,1
continue hatred dislike song lil guy forever,0
justin bieber get thingy album make video song,1
redheartredheart make videos love,1
rainbowflag,1
believers hit like button,1
always love youbelieber foreverredheartredheartredheart,1
good song ludacris,1
hope getting better king still much offer universe raisinghandsdarkskintoneredheartcheckmarkbutton,1
gatooooo,1
girl pretty redhead,1
auto tune though,1
beautiful song,1
singer car sent grinningfacewithsweat,0
song special place hearts twoyears,1
love beauty beat despacito justin bieber,1
wowastonishedfacestarstruck,1
disliked video youtubefacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,0
always favourite song ever sparklingheart,1
heartsuitheartsuitheartsuitheartsuit,1
saying job viewsfacewithopenmouth,1
still understand people hated song back skull,0
best song heard,1
barberredheart,1
near three billion,1
like justin bieber redhead,1
wow him dislikes video,0
heard song 2023redheart,1
heard song 2023redheart,1
see hated,0
beatingheartbeatingheartbeatingheart,1
king,1
prince pop,1
purpleheartpurpleheartpurpleheartpurpleheart,1
love song redheartcrown,1
literally thought music one yr old begun video quality look voice difference though,0
justin casts must make reunion together time passed,1
missing old times,0
2010baby 2015sorry two thousand twenty yummy yummy two thousand twenty-five recommended,1
justin bieber,1
glad baby justin bieber,1
nice see justin bieber,1
used obsessed eight 2023facewithtearsofjoycrossedfingersmediumskintone,1
thank supporting business sory tossed napkins,1
assay dibrugarh india,1
justin remember anymore,0
video older,0
bro happy get rejectedskull,0
cryingfacefacewithopenmouthfacewithtearsofjoyredheartcryingfacerollingonthefloorlaughingsmilingfacewithhearts,1
really care long ago know love,1
indian redheartindia like 202425redheart,1
amore,1
babyyyy,1
fact video recorded july twenty-six day right womanfacepalmingmediumdarkskintone,0
love justin bieber grinningfacewithsmilingeyes,1
bro realize drake casually video facewithtearsofjoy,0
four million comments dats lot comments nil,1
yeah sorry still hate guy,0
love itredheartredheart,1
pop nauseatedfacenauseatedfacepileofpoopileofpoopileofpoo,1
sniffing panda rollingonthefloorlaughingrollingonthefloorlaughing,0
like justin bieber,1
love music,1
frfacewithtearsofjoy,0
cute smilingfacewithhearteyes,1
moai,0
3000m,1
many girls dying seen first time right,0
knew drake my facewithtearsofjoy wild,1
song sounds like ass,0
wonder everyone hated guy lol,0
adam nicholas,1
liverpool booooooooooooooooooooooooo,0
love,1
girl video,1
still best,1
2023partypopperpartypopperpartypopperpartypopperpartypopperredheartredheartredheartredheartredheartstill hard,0
maybe listened song seven hundred ten first time,0
love song,1
twenty-six july two thousand twenty-three best music,1
pajama,1
beibein,1
legends watching two thousand twenty-three,1
like 2023smilingfacewithsmilingeyespartypopperredheart,1
listen song 2023and redheartpartypoppersmilingfacewithsmilingeyes,1
smilingfacewithheartssmilingfacewithheartssmilingfacewithheartsfire,0
thanks,1
inspirational,1
song came thirteen listening six seven,1
blackheads,0
love song matter redheartredheartredheartredheartredheartredheart,1
hi justin bieber sister would like perform baby baby oh pastiaou trattoria please,1
two thousand twenty-three still listening,0
three billion,1
drake seriously video,0
first english song heardfacewithtearsofjoyredheart,1
one hundred fourteen drake,0
video would porn star,0
end with good day good day,1
fire as,0
leo october nineteen,1
song gas,0
found clingy video singing six facewithtearsofjoy iconic song,1
two thousand twenty-three still checkmate,1
redheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheart looooooooooooooooooooove song,1
know love know careredheartredheartredheartredheartredheartredheart love song muchsmilingfacewithhearteyessmilingfacewithhearteyessparklingheartsparklingheart,1
ab wowsmilingfacewithsmilingeyes,1
fucking hate song,0
listening two thousand twenty-three,1
man sorry hating back days reason actually master piece,1
dances sings good,1
purpleheart,1
three billion views let go,1
best song,1
boy dedicated right still dedicate songs grinningfacewithsweatredheart,1
live,1
song him dislikes skull,0
two thousand twenty-three still love songredheart,1
fact justin looked like 13facewithtearsofjoyfacewithtearsofjoy,0
one cutest boys watchredheart,1
still,1
brush bro bad nil,0
music video bowling alley funny inexplicable sings bowls complete package,1
amor uoooooooooooooooooooooooooooobeatingheartbeatingheart,1
love,1
twenty years everybody forget dis shit fortunate,0
hating thirteen years ago tbe fire,0
everyone hated ludacris making song young teenage kid guess jokes guys doubting classicfirefirefire,0
love,1
clappinghandsclappinghandsclappinghandsclappinghandsthumbsupthumbsupthumbsup,1
2020s kids grow,0
sorry hating reason back days,0
song,1
someone bring two thousand ten back please miss days,0
justin bieber bad it ludicrous,0
masterpiece man people dislike much redhead,1
watching two thousand twenty-three,0
love songs partypopperpartypopperpartypopperpartypopperredheartredheartredheartredheartredheart,1
song touches heart reminds memories song touches heart reminds memories forget loudlycryingfaceloudlycryingfaceredheartredheartredheart,1
nepal love song smilingfacewithsmilingeyesredheartmy favourite job redhead,1
watched kid still nostalgic,1
think crush,1
realized got drake,1
best song earth,1
two thousand twenty-three still listening song redhead,1
still good,1
also love songredheartredheart,1
lie job whole era back redheartredheartrevolvinghearts,1
something really get old,1
one hundred fifteen drake,1
song sweet contiguous brings back childhood memories cryingface,1
love love,1
peep drake lol,1
son would loved passed away lola meth cryingfacefacewithtearsofjoypartypopper,1
baby baby oh,1
one hundred forty-six got goosebumps,1
ate faceblowingakiss,0
amazing redhead,1
honestly want sound rudegrinningfacewithsweat justin looks like baby front girls rollingonthefloorlaughingrollingonthefloorlaughing,0
nostalgia hitting hard,1
look justin carefully shortest boy others,1
smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
like justin beat singer,1
used hate song reason like,1
dis liked baby song google,0
love bangladesh redheartbangladesh,1
listening song two thousand twenty-three relievedfacebeatingheart,1
job eras tour loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,0
prince pop crownredheart,1
beatingheartbeatingheartbeatingheartbeatingheart,1
love,1
king bieber,1
crowncrowncrowncrown,1
good nostalgic hit thank memories 2010s child adore song muchredheartredheartredheart,1
love song,1
thumbsupgrowingheartgrowingheartgrowingheartsignofthehornsvevooncomingfistgrowingheartgrowingheartgrowingheartthumbsup,1
favourite songredheartredheartredheartredheartredheartsmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessparklingheartsparklingheartsparklingheartsparklingheartsparklingheart,1
like song,0
nineteen shower never,0
om,0
love songs best aspesley one hol song gaming,1
firefirefire,0
still wondering disliked youtube video,0
dude realize drake one hundred fourteen,1
god annoying,0
party usa went nuts good times,1
capitalism day,0
close ab views,1
like eight listened justin bieber listen playboy cart,0
2023facewithtearsofjoy,1
song fire,1
realised drake video loudlycryingface,0
uncomfortable song history,0
ig first english song heard back masterpiece memory raisinghandsheartsuit,1
2023smilingface,0
legend also 2023personraisinghandpersonraisinghandpersonraisinghand,1
child voice,1
eight years is one week well played youtube,1
seven came liked back two thousand twenty-three love for,1
times simpler,1
noob,0
2023partypopperpartypopperredheart,1
love herald redhead,1
thought girl singing song sorry justin thought sounded like girl still sorry grinningfacewithsweatgrinningfacewithsweat,0
frick sound like girlexplodingheadthinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingface,0
july two thousand twenty-three,1
fu alienthumbsup,0
listen thirteen years best song,1
love song,1
dishpan hind trredheartsmilingfacewithsmilingeyes,1
one hundred twenty drake right,1
four million comments marvelous,1
ludacris collar goofball,0
two thousand twenty-three twenty-four 07redheart,1
man imagine singing crush ith grade,0
persongesturingnopersongesturingnopersongesturingnopersongesturingno,0
facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
repeat many times,1
anyone july two thousand twenty-three,0
july twenty-four 2023redheartpartypopper,1
think look,1
think look following story main road position strength conditioning,1
wait boy sound facewithmonoclefacewithraisedeyebrowthinkingface,0
king pop,1
fan since two thousand five,1
miss justin better new songfacewithopenmouthgrinningfacewithsweatsmilingfacewithsmilingeyes,1
always favourite song redhead,1
hate day,0
smilingfacesmilingfacesmilingface,1
2023smilingfacewithsmilingeyes,1
hate guy music hundredpoints,0
listening july twenty-three two thousand twenty-three,1
smilingcatwithhearteyespurpleheart,1
justin grew balls,1
love brother,1
three billion soon,1
pov2023 still listening songmusicalnote,1
beautiful redheartredheartredheart,1
sparklessparklessparkles,1
sparklessparklessparklesdizzy,1
smilingfacewithhearteyessmilingfacewithhearteyes,1
kissmarkkissmarkkissmark,1
remember singing five,1
sister like,0
drake grinningface,1
assumes live assay,1
hello brazil,1
nah bro used listen five relating lyrics,1
like one top songs just century,1
song hits different two thousand twenty-three,1
know used hate effort put made today,1
om even know tinashefacewithopenmouthfacescreaminginfear,0
thirteen years ago damn getting oldoldman,0
justin bieber keep good work,1
2023partypopper,1
algeriamendingheart,1
apologize hating reason back days,0
legend watching two thousand twenty-four facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
hit day,1
born came heard first time obsessed,1
dam close three billion views wonder going happen,0
like baby baby baby oooh,1
babyredheart,1
anyone two thousand twenty-three,0
baby baby baby baby baby,1
ai love justinredheart,1
two thousand twenty-three justin bieber looks like kidnap two thousand ten justin bieber,0
sir people supporting recovery,1
friends sayin,1
song released year born think thirteen first loverelievedfaceredheart,1
facewithopenmouth2023,1
baby baby baby ahah firefiresmilingfacewithheartstwoheartsheartexclamation,1
justinbieber partypopperpartypopperpartypopper,1
fiber donkey facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoysrilankasrilankasrilankasrilankasrilankawinkingfacewithtonguewinkingfacewithtonguewinkingfacewithtonguewinkingfacewithtonguewinkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,0
today,1
got rejected many timesfacewithtearsofjoy,0
very nail song,1
old he's alan,1
wow,1
welcome 2023ians,1
still good song always sing well,1
remind henry danger,0
jasmine villages,1
iconic,1
still shine society make hollywood scary af,0
notice drake young videofacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
class mate,1
nom one song,1
two thousand twenty-three still fan song,1
sorry crib,0
noticing drake music video facewithtearsofjoyfacewithtearsofjoy,1
2023facewithopenmouthredheartredheartredheart,1
thirteen years,1
baby baby baby oh smilingfacewithsmilingeyes,1
baby baby oh favourite song,1
lol drake randomly appears,1
